what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1408871628622
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1408871628651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871630537
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1408871630763
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1408871631284
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1408871637958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871638031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871663907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871664262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871667551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871668460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871984272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871984662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871992821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871993113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871993442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408871993654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872054759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872055280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872056791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872057287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872082718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872082950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872107115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872107473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872108392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872108928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872112226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872112463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872119742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408872120322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408874743960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408874745737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408874746796
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408874747291
