what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1408682348046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682348089
error,log,,,"Several ports (8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1408682349026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682373342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682375114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682375270
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408682377352
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408682379023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408682383444
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408682384390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408682385712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408682387434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1408682391884
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408682393456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682395050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682396790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682396880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682398303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682398355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682399264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682399789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682409127
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408682410461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682412607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682416380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408682448110
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408682449255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682450736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682452669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682452727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682464170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408682514989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408682516096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408682532010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408682533357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408682535728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408682536289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408682538776
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408682540057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408682542081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408682542475
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408682543478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682545715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682547951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682552654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682572490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682576704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682577321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682577509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682587548
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408682608554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408682611398
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1408682612534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408682620329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408682621161
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408682622968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682624259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682626456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682626495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408682643173
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408682645381
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408682647074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408682647385
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408682648835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408682649425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408682650447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408682659681
