what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1410444400254
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410444400432
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410444400455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444401414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444403656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444404031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444405674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444407341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444408446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410444410364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444410630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444413729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410444415485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444415707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444419501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444420386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444437572
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1410444438596
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410444438808
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410444438842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444461410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444462237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444463784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444470052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410444471358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444471616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444500137
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1410444500167
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410444500376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410444500633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410444514759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444515194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444611378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410444613477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444613776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444635184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410444637432
