what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529354350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529358597
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408529366011
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408529366330
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408529366384
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408529368446
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408529368709
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408529368785
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408529369176
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1408529369641
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408529369734
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408529369774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529379725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1408529379743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529381788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529384499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529387398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529387829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1408529387852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529390609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408529391281
