what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531628123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408531628165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531631643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531632039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408531635178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531636211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531638112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531642854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531653581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531654175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531654674
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408531658630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531658685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531659516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531659909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531660561
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408531662234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531663017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1408531663034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531665352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408531669821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408531671870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408531675014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531677823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531679240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408531691958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531728440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531731412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531731750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531738206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531822552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531824842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531828683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531829297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531840732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531853212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408531859595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408531866633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408531906991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408531907457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408531908067
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408531917557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408531922562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408531927378
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408531928582
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408531929826
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408531941762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531943668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531944144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531944337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531949079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531950976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408531951340
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408531955697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408531957622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1408531966347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1408531974775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408531982431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408531984714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408531990505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408531991952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1408532005627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408532015926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1408532015948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408532018164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408532022302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408532025313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408532045178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408532045687
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408532048418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408532061131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408532062438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408532071122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408532076417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408532079831
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532083518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408532099800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408532102588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408532104325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408532114802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408532123598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408532131581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1408532136427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408532143516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408532316840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408532317660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1408532411620
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408532424746
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532433159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532433185
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408532434131
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532434465
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532434494
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408532438373
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532438693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532438716
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408532439519
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532439843
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532439870
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408532441160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532441458
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408532443116
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532443449
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532443473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408532448171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408532449453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408532452096
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408532456217
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408532456449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408532486530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408532488825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408532490204
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1408532494741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408532499613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408532501346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408532508759
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1408532510746
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408532517080
