what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1408530163827
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1408530163831
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1408530163858
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1408530163860
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1408530163957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408530166409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408530172145
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408530174531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530176235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530180301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1408530180316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1408530180316
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530182700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530184474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530186397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530191172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530204333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530205732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530219190
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408530219931
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530223785
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408530226313
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530229800
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408530233703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530241499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530243313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530257974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530258092
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530261566
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408530263690
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530263972
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530265215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530267659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530270643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530270723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530288369
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408530289280
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530296761
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408530299190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530302059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408530305160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1408530305176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1408530305176
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530308548
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530308575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408530315293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408530317388
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408530320610
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530320818
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530320848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408530324902
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408530326339
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408530327362
